# section: strategy
name,Alpha AE6 MFI Williams Flush Fade 4h
market,KRW-BTC
timeframe,4h
stop_loss_pct,3.0
take_profit_pct,5.0
indicators,"mfi14(mfi, period=14), wr14(williams_r, period=14), adx14(adx, period=14)"

# section: disclaimer
notice,Backtesting results are based on historical data and do not guarantee that the same or similar investment performance will be achieved in the future or in actual trading.

# section: performance
metric,value
period,2025-07-29 ~ 2026-07-28 (UTC)
initial_capital,1000000 KRW
trading_bars,2185
2025-10-22 00:00:00 UTC,sell
2025-10-22 04:00:00 UTC,sell
2025-10-23 16:00:00 UTC,sell
2025-10-23 20:00:00 UTC,sell
2025-10-24 04:00:00 UTC,sell
2025-10-24 08:00:00 UTC,sell
2025-10-24 12:00:00 UTC,sell
2025-10-24 20:00:00 UTC,sell
2025-10-25 04:00:00 UTC,sell
2025-10-25 08:00:00 UTC,sell
2025-10-25 12:00:00 UTC,sell
2025-10-25 20:00:00 UTC,sell
2025-10-26 12:00:00 UTC,sell
2025-10-26 16:00:00 UTC,sell
2025-10-26 20:00:00 UTC,sell
2025-10-27 00:00:00 UTC,sell
2025-10-27 04:00:00 UTC,sell
2025-10-27 08:00:00 UTC,sell
2025-10-27 12:00:00 UTC,sell
2025-10-27 16:00:00 UTC,sell
2025-10-27 20:00:00 UTC,sell
2025-10-28 00:00:00 UTC,sell
2025-10-28 04:00:00 UTC,sell
2025-10-28 08:00:00 UTC,sell
2025-10-28 12:00:00 UTC,sell
2025-10-28 16:00:00 UTC,sell
2025-10-28 20:00:00 UTC,sell
2025-10-29 16:00:00 UTC,buy
2025-10-30 00:00:00 UTC,buy
2025-10-30 20:00:00 UTC,buy
2025-11-02 00:00:00 UTC,sell
2025-11-02 04:00:00 UTC,sell
2025-11-02 08:00:00 UTC,sell
2025-11-02 12:00:00 UTC,sell
2025-11-02 16:00:00 UTC,sell
2025-11-03 16:00:00 UTC,buy
2025-11-04 00:00:00 UTC,buy
2025-11-09 16:00:00 UTC,sell
2025-11-09 20:00:00 UTC,sell
2025-11-10 00:00:00 UTC,sell
2025-11-10 04:00:00 UTC,sell
2025-11-10 08:00:00 UTC,sell
2025-11-10 12:00:00 UTC,sell
2025-11-10 16:00:00 UTC,sell
2025-11-10 20:00:00 UTC,sell
2025-11-11 00:00:00 UTC,sell
2025-11-11 04:00:00 UTC,sell
2025-11-11 08:00:00 UTC,sell
2025-11-11 12:00:00 UTC,sell
2025-11-11 16:00:00 UTC,sell
2025-11-11 20:00:00 UTC,sell
2025-11-15 00:00:00 UTC,buy
2025-11-20 04:00:00 UTC,sell
2025-11-20 08:00:00 UTC,sell
2025-11-20 16:00:00 UTC,sell
2025-11-23 04:00:00 UTC,sell
2025-11-23 08:00:00 UTC,sell
2025-11-23 12:00:00 UTC,sell
2025-11-23 16:00:00 UTC,sell
2025-11-23 20:00:00 UTC,sell
2025-11-24 00:00:00 UTC,sell
2025-11-24 04:00:00 UTC,sell
2025-11-24 08:00:00 UTC,sell
2025-11-24 12:00:00 UTC,sell
2025-11-24 16:00:00 UTC,sell
2025-11-24 20:00:00 UTC,sell
2025-11-25 00:00:00 UTC,sell
2025-11-25 04:00:00 UTC,sell
2025-11-25 08:00:00 UTC,sell
2025-11-26 20:00:00 UTC,sell
2025-11-27 00:00:00 UTC,sell
2025-11-27 04:00:00 UTC,sell
2025-11-27 08:00:00 UTC,sell
2025-11-27 12:00:00 UTC,sell
2025-11-27 16:00:00 UTC,sell
2025-11-27 20:00:00 UTC,sell
2025-11-28 00:00:00 UTC,sell
2025-11-28 04:00:00 UTC,sell
2025-11-28 08:00:00 UTC,sell
2025-11-28 12:00:00 UTC,sell
2025-11-28 16:00:00 UTC,sell
2025-11-28 20:00:00 UTC,sell
2025-11-29 00:00:00 UTC,sell
2025-11-29 04:00:00 UTC,sell
2025-11-29 08:00:00 UTC,sell
2025-11-30 12:00:00 UTC,sell
2025-11-30 16:00:00 UTC,sell
2025-12-01 04:00:00 UTC,buy
2025-12-01 16:00:00 UTC,buy
2025-12-02 16:00:00 UTC,sell
2025-12-02 20:00:00 UTC,sell
2025-12-03 00:00:00 UTC,sell
2025-12-03 04:00:00 UTC,sell
2025-12-03 08:00:00 UTC,sell
2025-12-03 12:00:00 UTC,sell
2025-12-03 16:00:00 UTC,sell
2025-12-03 20:00:00 UTC,sell
2025-12-04 00:00:00 UTC,sell
2025-12-04 04:00:00 UTC,sell
2025-12-04 08:00:00 UTC,sell
2025-12-04 12:00:00 UTC,sell
2025-12-04 16:00:00 UTC,sell
2025-12-04 20:00:00 UTC,sell
2025-12-05 00:00:00 UTC,sell
2025-12-05 08:00:00 UTC,sell
2025-12-07 20:00:00 UTC,sell
2025-12-08 00:00:00 UTC,sell
2025-12-08 04:00:00 UTC,sell
2025-12-08 08:00:00 UTC,sell
2025-12-08 12:00:00 UTC,sell
2025-12-09 16:00:00 UTC,sell
2025-12-09 20:00:00 UTC,sell
2025-12-10 00:00:00 UTC,sell
2025-12-10 08:00:00 UTC,sell
2025-12-10 20:00:00 UTC,sell
2025-12-14 16:00:00 UTC,buy
2025-12-14 20:00:00 UTC,buy
2025-12-16 04:00:00 UTC,buy
2025-12-18 08:00:00 UTC,sell
2025-12-18 12:00:00 UTC,sell
2025-12-18 16:00:00 UTC,sell
2025-12-18 20:00:00 UTC,sell
2025-12-19 04:00:00 UTC,sell
2025-12-19 08:00:00 UTC,sell
2025-12-19 12:00:00 UTC,sell
2025-12-19 16:00:00 UTC,sell
2025-12-19 20:00:00 UTC,sell
2025-12-20 00:00:00 UTC,sell
2025-12-20 04:00:00 UTC,sell
2025-12-20 08:00:00 UTC,sell
2025-12-20 12:00:00 UTC,sell
2025-12-20 16:00:00 UTC,sell
2025-12-20 20:00:00 UTC,sell
2025-12-21 00:00:00 UTC,sell
2025-12-21 04:00:00 UTC,sell
2025-12-21 08:00:00 UTC,sell
2025-12-21 12:00:00 UTC,sell
2025-12-21 16:00:00 UTC,sell
2025-12-21 20:00:00 UTC,sell
2025-12-22 00:00:00 UTC,sell
2025-12-22 04:00:00 UTC,sell
2025-12-22 08:00:00 UTC,sell
