# section: strategy
name,Alpha AE9 Trend Pullback Continuation 4h
market,KRW-BTC
timeframe,4h
stop_loss_pct,5.0
take_profit_pct,12.0
indicators,"ema20(moving_average, type=EMA, period=20), ema50(moving_average, type=EMA, period=50), adx14(adx, period=14)"

# section: disclaimer
notice,Backtesting results are based on historical data and do not guarantee that the same or similar investment performance will be achieved in the future or in actual trading.

# section: performance
metric,value
2025-12-07 16:00:00 UTC,sell
2025-12-07 20:00:00 UTC,sell
2025-12-08 00:00:00 UTC,sell
2025-12-08 04:00:00 UTC,sell
2025-12-08 08:00:00 UTC,sell
2025-12-08 12:00:00 UTC,sell
2025-12-08 16:00:00 UTC,sell
2025-12-08 20:00:00 UTC,sell
2025-12-09 00:00:00 UTC,sell
2025-12-09 04:00:00 UTC,sell
2025-12-09 08:00:00 UTC,sell
2025-12-09 12:00:00 UTC,sell
2025-12-11 04:00:00 UTC,sell
2025-12-11 16:00:00 UTC,sell
2025-12-12 16:00:00 UTC,sell
2025-12-12 20:00:00 UTC,sell
2025-12-13 00:00:00 UTC,sell
2025-12-13 04:00:00 UTC,sell
2025-12-13 08:00:00 UTC,sell
2025-12-13 12:00:00 UTC,sell
2025-12-13 16:00:00 UTC,sell
2025-12-13 20:00:00 UTC,sell
2025-12-14 00:00:00 UTC,sell
2025-12-14 04:00:00 UTC,sell
2025-12-14 08:00:00 UTC,sell
2025-12-14 12:00:00 UTC,sell
2025-12-14 16:00:00 UTC,sell
2025-12-14 20:00:00 UTC,sell
2025-12-15 00:00:00 UTC,sell
2025-12-15 04:00:00 UTC,sell
2025-12-15 08:00:00 UTC,sell
2025-12-15 12:00:00 UTC,sell
2025-12-15 16:00:00 UTC,sell
2025-12-15 20:00:00 UTC,sell
2025-12-16 00:00:00 UTC,sell
2025-12-16 04:00:00 UTC,sell
2025-12-16 08:00:00 UTC,sell
2025-12-16 12:00:00 UTC,sell
2025-12-16 16:00:00 UTC,sell
2025-12-16 20:00:00 UTC,sell
2025-12-17 00:00:00 UTC,sell
2025-12-17 04:00:00 UTC,sell
2025-12-17 08:00:00 UTC,sell
2025-12-17 12:00:00 UTC,sell
2025-12-17 20:00:00 UTC,sell
2025-12-18 00:00:00 UTC,sell
2025-12-18 04:00:00 UTC,sell
2025-12-18 08:00:00 UTC,sell
2025-12-18 20:00:00 UTC,sell
2025-12-19 00:00:00 UTC,sell
2025-12-22 20:00:00 UTC,sell
2025-12-23 04:00:00 UTC,sell
2025-12-23 16:00:00 UTC,sell
2025-12-23 20:00:00 UTC,sell
2025-12-24 00:00:00 UTC,sell
2025-12-24 04:00:00 UTC,sell
2025-12-24 08:00:00 UTC,sell
2025-12-24 12:00:00 UTC,sell
2025-12-24 16:00:00 UTC,sell
2025-12-24 20:00:00 UTC,sell
2025-12-25 00:00:00 UTC,sell
2025-12-25 04:00:00 UTC,sell
2025-12-25 08:00:00 UTC,sell
2025-12-25 12:00:00 UTC,sell
2025-12-25 16:00:00 UTC,sell
2025-12-25 20:00:00 UTC,sell
2025-12-26 00:00:00 UTC,sell
2025-12-26 16:00:00 UTC,sell
2025-12-26 20:00:00 UTC,sell
2025-12-27 00:00:00 UTC,sell
2025-12-27 04:00:00 UTC,sell
2025-12-27 08:00:00 UTC,sell
2025-12-27 12:00:00 UTC,sell
2025-12-27 16:00:00 UTC,sell
2025-12-27 20:00:00 UTC,sell
2025-12-28 00:00:00 UTC,sell
2025-12-28 04:00:00 UTC,sell
2025-12-28 08:00:00 UTC,sell
2025-12-28 12:00:00 UTC,sell
2025-12-28 16:00:00 UTC,sell
2025-12-28 20:00:00 UTC,sell
2025-12-29 00:00:00 UTC,sell
2025-12-29 12:00:00 UTC,sell
2025-12-29 16:00:00 UTC,sell
2025-12-29 20:00:00 UTC,sell
